[26-Oct-2015 23:04:39 Europe/Berlin] PHP Notice:  Undefined variable: turma in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 39
[26-Oct-2015 23:06:45 Europe/Berlin] PHP Fatal error:  Call to undefined function find_turma() in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 39
[26-Oct-2015 23:09:42 Europe/Berlin] PHP Fatal error:  Call to undefined function find_turma() in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 39
[26-Oct-2015 23:13:15 Europe/Berlin] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 39
[27-Oct-2015 01:29:25 Europe/Berlin] PHP Parse error:  syntax error, unexpected '(', expecting '&' or variable (T_VARIABLE) in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 27
[27-Oct-2015 01:32:17 Europe/Berlin] PHP Warning:  Missing argument 1 for aluno::save(), called in C:\xampp\htdocs\site_novo\formandos.php on line 246 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 37
[27-Oct-2015 01:32:17 Europe/Berlin] PHP Notice:  Undefined variable: function in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 39
[27-Oct-2015 01:34:00 Europe/Berlin] PHP Fatal error:  Call to undefined function find_turma() in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 39
[27-Oct-2015 01:40:00 Europe/Berlin] PHP Fatal error:  Call to undefined function find_turma() in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 39
[27-Oct-2015 01:41:18 Europe/Berlin] PHP Fatal error:  Can't use method return value in write context in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 39
[27-Oct-2015 01:44:56 Europe/Berlin] PHP Fatal error:  Call to undefined function find_turma() in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 39
[27-Oct-2015 02:42:58 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, string given in C:\xampp\htdocs\site_novo\formandos.php on line 107
[27-Oct-2015 16:22:28 Europe/Berlin] PHP Warning:  Missing argument 1 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 105 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[27-Oct-2015 16:22:31 Europe/Berlin] PHP Warning:  Missing argument 2 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 105 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[27-Oct-2015 16:22:31 Europe/Berlin] PHP Warning:  Missing argument 3 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 105 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[27-Oct-2015 16:22:31 Europe/Berlin] PHP Warning:  Missing argument 4 for aluno::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 105 and defined in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 14
[27-Oct-2015 16:22:31 Europe/Berlin] PHP Notice:  Undefined variable: nome in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 16
[27-Oct-2015 16:22:31 Europe/Berlin] PHP Notice:  Undefined variable: arquivo_pdf in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 17
[27-Oct-2015 16:22:31 Europe/Berlin] PHP Notice:  Undefined variable: data_inscricao in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 18
[27-Oct-2015 16:22:31 Europe/Berlin] PHP Notice:  Undefined variable: turma in C:\xampp\htdocs\site_novo\modules\aluno.class.php on line 19
[27-Oct-2015 16:22:31 Europe/Berlin] PHP Notice:  Undefined variable: query_alunos in C:\xampp\htdocs\site_novo\formandos.php on line 109
[27-Oct-2015 16:22:31 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in C:\xampp\htdocs\site_novo\formandos.php on line 109
[27-Oct-2015 16:22:59 Europe/Berlin] PHP Notice:  Undefined variable: query_alunos in C:\xampp\htdocs\site_novo\formandos.php on line 109
[27-Oct-2015 16:22:59 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in C:\xampp\htdocs\site_novo\formandos.php on line 109
[27-Oct-2015 16:23:36 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 109
[27-Oct-2015 16:24:22 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 110
[27-Oct-2015 16:59:18 Europe/Berlin] PHP Warning:  Missing argument 1 for turma::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 50 and defined in C:\xampp\htdocs\site_novo\modules\turma.class.php on line 15
[27-Oct-2015 16:59:18 Europe/Berlin] PHP Warning:  Missing argument 2 for turma::__construct(), called in C:\xampp\htdocs\site_novo\formandos.php on line 50 and defined in C:\xampp\htdocs\site_novo\modules\turma.class.php on line 15
